LON,LAT,EDO,CLAVE,ESTACION,jun-25,,
-105.628889,28.166111,CHIH,FIMCH,"Las V°rgenes, Chih.",70.01,,
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",71.89,,
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",68.8,,
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",4.4,,
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",117.43,,
-107.85,28.95,CHIH,TMCCH,"Observatorio de Tem¢sachic, Chih.",75.53,,
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",41.02,,
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",1.13,,
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",46.75,,
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",53.5,,
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",94.5,,
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",120,,
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",23.5,,
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",44.59,,
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",341.5,,
-93.458611,17.446111,CHIS,PENCP,"Angel Albino Corzo, Chis.",278.3,,
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",500.4,,
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",391.3,,
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",336.1,,
-93.15,16.641944,CHIS,BOQCP,"Boquer¢n, Chis.",300.4,,
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",797.6,,
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Ca§¢n del Sumidero, Chis. CFE*",287.6,,
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",226.51,,
-92.618056,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuit†n, Chis. SGT*",1060.6,,
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango, Chis. SGT*",470.9,,
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",450.3,,
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",216.6,,
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",201.27,,
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitan, Chis. PC*",228.4,,
-92.113056,15.435833,CHIS,CUILCOCFE,"Cuilco, Chis. CFE*",214.1,,
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",512.5,,
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",925.61,,
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Dom°nguez, Chis.",258.5,,
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",7.6,,
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",514,,
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",495.5,,
-92.829444,17.373056,CHIS,ESCALONCP,"El Escal¢n, Chis. SGT*",475,,
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",479.31,,
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",381,,
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",618.6,,
