LON,LAT,EDO,CLAVE,ESTACION,may-25
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",155
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",50
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",20.5
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",5.42
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",58.5
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",4.84
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",46.03
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",10
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",24.1
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",22.01
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",11.21
-103.804167,19.2125,COL,CQMCM,"Coquimatlán, Col.",93.71
-103.6,19.325,COL,CUACM,"Cuauhtémoc, Col.",13.5
-103.884444,19.111389,COL,DJLCM,"P. deriv. Gregorio T. Q. Jala, Col.",70.2
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",2.4
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",112.1
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",6.4
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",32.01
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",97.6
-103.8125,19.3275,COL,PNTCM,"P. deriv. Peñitas, Col.",14
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",18.8
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",3.71
-103.867778,18.911667,COL,TCMCM,"Tecomán, Col.",20
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",12.51
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",86.5
-99.235278,19.203333,DF,AJUSCOALTATEN,"Ajusco Alta Tensión, Cd. de Méx. SEGIAGUA*",68.75
-99.197222,19.388611,DF,CAJA6IPSAYP,"Caja 6 IP San Antonio y Periferico, Cd. de Méx. SEGIAGUA*",82
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",105.28
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",68.49
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",74.51
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",83.45
-99.021667,19.256111,DF,CERRILLOS,"Cerrillos, Cd. de Méx. SEGIAGUA*",64.5
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",90
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de Méx. SEGIAGUA*",19.5
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",68.5
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",129.19
-99.077778,19.4775,DF,CRAEOCAVM,"San Juan de Aragón (CRAE OCAVM), Cd. de Méx. SEGIAGUA*",53.5
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",52.4
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",66.32
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",44.5
-99.205,19.3,DF,DATDF,"Desviación Alta, Cd. de Méx.",26
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",64.5
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",30
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",107.24
-99.073056,19.288611,DF,ELMOLINOCDMX,"El Molino, Cd. de Méx. SEGIAGUA*",10
-99.066667,19.377778,DF,EMRDF,"El Moral SACM, Cd. de Méx.",24.9
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",55.75
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",68
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de Méx.",75.6
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",67
-98.975,19.339167,DF,LACALDERA,"La Caldera Subestación eléctrica Santa Lucía, Méx. SEGIAGUA*",100.75
-99.170556,19.286944,DF,LAJOYACDMX,"La Joya, Cd. de Méx. SEGIAGUA*",4.25
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos (El Moral), Cd. de Méx.",64.5
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",68.25
-99.026944,19.187222,DF,MILPAALTADF,"Milpa Alta, Cd. de Méx. SEGIAGUA*",101.5
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de Méx.",12.45
-99.120556,19.150556,DF,MTULMIAC,"Manantial Tulmiac, Cd. de Méx. SEGIAGUA*",114.5
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo (Mezontepec), Cd. de Méx.",104.25
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de Mécico Sur, Cd. de Méx.",43.5
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",44.5
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",9.06
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",27.59
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",17.5
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",52.72
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",91.06
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",94.29
-99.209444,19.308611,DF,PICACHOAJUSCO,"Planta Pichacho Ajusco Periférico, Cd. de Méx. SEGIAGUA*",0
-99.219444,19.285278,DF,PICACHOHOMUN,"Picacho Homun, Cd. de Méx. SEGIAGUA*",99.5
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",35
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",54.49
