Lon,Lat,Clave,Edo,Est,Tmed
-90.72,19.36,CHAMPOTONmar,CAMP,ChampotÛn Camp. SEMAR*,25.7
-90.59,19.81,LERMAmar,CAMP,Lerma Camp. SEMAR*,26.7
-90.51,19.84,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,26.8
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,25.9
-91.83,18.63,EIOCDCARMENmar,CAMP,EstaciÛn de InvestigaciÛn Oceanogr·fica de Ciudad del Carmen Camp. SEMAR*,26.9
-91.84,18.65,CPISLCARMENmar,CAMP,CapitanÌa de Puerto de Isla del Carmen Camp. SEMAR*,27.5
-89.72,19.46,DZILBACHEN,CAMP,DzilbachÈn Camp. SMN*,25.5
-99.2,19.3,DATDF,CDMX,DesviaciÛn Alta Cd. de MÈx.,16.4
-99.07,19.47,SJADF,CDMX,San Juan de AragÛn Cd. de MÈx.,17.4
-99.14,19.52,CEADF,CDMX,Campamento Amealco Cd. de MÈx.,17.7
-99.2,19.27,ECOGUARDAS,CDMX,Ecoguardas Ajusco Cd. de MÈx. SMN*,15.5
-99.1,19.39,TEZDF,CDMX,Tezontle Cd. de MÈx. SMN*,18.3
-99.2,19.41,CTMDF,CDMX,Observatorio de Tacubaya Cd. de MÈx.,18.4
-99.09,19.48,GCNDF,CDMX,km 6+250 Cd. de MÈx.,16.1
-99.07,19.44,MMMX,CDMX,Aeropuerto Internacional de la Ciudad de MÈxico Cd. de MÈx.*,17.1
-99.22,19.44,IBMSE,CDMX,Legaria Cd. de MÈx. SGIRPC*,17.6
-99.26,19.36,SFESE,CDMX,Santa Fe Cd. de MÈx. SGIRPC*,14.7
-99.16,19.35,ENP6,CDMX,Escuela Nacional Preparatoria 6 Cd. de MÈx. UNAM*,17.8
-99.2,19.4,ENP4,CDMX,Escuela Nacional Preparatoria 4 Cd. de MÈx. UNAM*,18.4
-99.19,19.42,MDELREY,CDMX,Molino del Rey Cd. de MÈx SMN*,17.3
-99.14,19.48,CCHV,CDMX,Colegio de Ciencias y Humanidades Vallejo Cd. de MÈx. UNAM*,18.6
-99.01,19.25,TULYEHUALC,CDMX,Tulyehualco Cd. de MÈx. UNAM*,16.9
-99.18,19.33,CCA,CDMX,Centro de Ciencias de la AtmÛsfera Cd. de MÈx UNAM*,17.1
-99.13,19.42,ENP7,CDMX,Escuela Nacional Preparatoria 7 Cd. de MÈx. UNAM*,18.8
-99.12,19.48,ENP9,CDMX,Escuela Nacional Preparatoria 9 Cd. de MÈx. UNAM*,18.4
-99.15,19.31,SURSE,CDMX,Santa ⁄rsula Cd. de MÈx. SGIRPC*,17.3
